Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Data Engineer (Kafka) ,Link Group,Remote,Data  Kafka  SQL  Python,25200,30240,PLN
 Senior Data Engineer ,Avenga,Remote,Data  Kafka  Degree  MySQL,21840,26880,PLN
 Senior Machine Learning Engineer  ,MANGOPAY,Remote,AI  Python  MLOps  Data engineering,20000,31250,PLN
 Data Engineer ,ITDS,Warsaw,Data  SQL  Data engineering  Python,21000,24360,PLN
 Machine Learning Engineer ,Numlabs - Data Science Services,Remote,AI  Python  Degree  Cloud computing,20160,26880,PLN
 MLOps Engineer ,Harvey Nash Technology,Remote,AI  Python  AWS  REST,17000,33000,PLN
 Python Developer ,ROCKWOOL GBS,Poznań,Data  Python  Machine learning  TensorFlow,,,
 Machine Learning Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Warszawa,AI  CI/CD  GitHub Actions  Airflow,,,
 Database Administrator ,Amelco UK Ltd.,Warsaw,Data  SQL  PostgreSQL  K8s,18900,25200,PLN
 Data Engineer with Cloud ,GFT Poland,Poznań,Data  Python  Dataproc for Spark  Dataflow for Apache Beam,19320,26376,PLN
 Senior Project Manager with German ,Link Group,Remote,Project Manager  Communication skills  Project management  Product development,23520,25200,PLN
 Senior Python Engineer ,1dea,Remote,Backend  Python  Machine learning  AI,25200,28560,PLN
 Senior Data Engineer ,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Warszawa,Data  Python  PySpark  pandas,14000,28000,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
 AI Engineer ,aqua cloud GmbH,Remote,AI  Python  Data analysis  Web API,,,
 Mid-Senior Machine Learning Engineer ,Harvey Nash Technology,Kraków,AI  Python  OOP  Data structures,17000,23000,PLN
 Senior AI Engineer ,Sigma IT Poland,Remote,AI  AI  Machine learning  Python,23520,26880,PLN
 Azure Data Engineer - Remote ,Link Group,Remote,Data  Azure  CI  Data Lake,18500,24500,PLN
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 C++ Engineer - Mid/Senior for AI ,Bohemia Interactive Simulations,Prague,AI  C++  Algorithms  OOP,75,120,CZK
 Mid SQL Data Analyst ,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,Warszawa,Data  SQL  pandas  Python,8000,10000,PLN
 Senior Software Engineer (Machine Learning MLOps) ,Tesco Technology,Kraków,Data  Python  Machine learning  Splunk,26000,36000,PLN
 Data Analyst ,Schneider Electric,Warsaw,Data  Python  SQL  Tableau,,,
